Returns,Q_mean,P_NB6,P_NB7,P_NB8,P_NB9,P_NB10,P_NB11,P_NB12,P_NB13,P_NB14,P_NB15
-1.0,0.0,0.0,4.6673927443082796e-18,7.302940840674607e-10,1.876215760126759e-12,0.0,4.515608110914326e-19,1.1960125172960415e-10,0.0014066720019612832,6.040257183588189e-16,8.167928562600608e-14
-0.99,0.0,0.0,2.2324549146483012e-17,1.1462091889081295e-09,3.7814860401130935e-12,4.653318557824155e-40,2.7008180943729546e-18,1.9790156457285818e-10,0.001460193739361282,1.946081618191658e-15,1.9391948884229146e-13
-0.98,0.0,0.0,9.478753352399993e-17,1.7803956298724748e-09,7.43401296063027e-12,8.628286684139567e-33,1.384855310503602e-17,3.2340614123703547e-10,0.0015163040251665824,5.858967523565273e-15,4.4338825763256585e-13
-0.97,0.0,0.0,3.633312255379006e-16,2.738161894384084e-09,1.4279335200760651e-11,5.492922344906591e-29,6.238060754320457e-17,5.222692388058246e-10,0.0015751552789083963,1.660589369090963e-14,9.79409186846095e-13
-0.96,0.0,0.0,1.274405415722855e-15,4.171398496443693e-09,2.6840174587192548e-11,2.1562605271217766e-26,2.5159274257586407e-16,8.339324693894888e-10,0.0016369105295926392,4.458700450376515e-14,2.0958565342990472e-12
-0.95,0.0,0.0,4.1356547467674626e-15,6.297408823849375e-09,4.943786562891714e-11,2.0154520195845223e-24,9.223994453960493e-16,1.3172974968979286e-09,0.0017017442702311767,1.140195742123964e-13,4.355497741271247e-12
-0.94,0.0,0.0,1.2530090887588169e-14,9.424670766519541e-09,8.934680814798597e-11,7.834762496738301e-23,3.111851020328517e-15,2.0595123343672294e-09,0.001769843390732724,2.789768908915912e-13,8.809196153563615e-12
-0.93,1.7859742626452137e-06,0.0,3.5713033350380097e-14,1.398784132929828e-08,1.586140421962347e-10,1.6841976884887423e-21,9.757652784583658e-15,3.1883759979663137e-09,0.0018414081972304723,6.556901938449198e-13,1.7373975181946994e-11
-0.92,5.429463216934576e-06,0.0,9.636855050676397e-14,2.0595011956819462e-08,2.768866342571441e-10,2.3619535974192944e-20,2.8675169560427035e-14,4.8897153795007825e-09,0.0019166535268498755,1.485498772069306e-12,3.347198762069771e-11
-0.91,1.385865110590639e-05,0.0,2.4753703779904703e-13,3.009110527950661e-08,4.757467316408552e-10,2.399120571044961e-19,7.952918298390525e-14,7.431546339122283e-09,0.0019958099679634397,3.2539046010500375e-12,6.30902979453913e-11
-0.8999999999999999,2.356688778069309e-05,8.682546377946124e-37,6.080880757800875e-13,4.364241935327116e-08,8.052751070168414e-10,1.8935060784558375e-18,2.0939674488978626e-13,1.119742860521199e-08,0.0020791251971565635,6.909644252819304e-12,1.165080655080493e-10
-0.8899999999999999,4.516192552987234e-05,8.233510172030006e-31,1.4343822216763437e-12,6.284872761979015e-08,1.3438715340719428e-09,1.2202241956195857e-17,5.260489968818673e-13,1.673219902484002e-08,0.0021668654454571877,1.4257778367992663e-11,2.1106573166622724e-10
-0.8799999999999999,6.76390525854447e-05,2.2155711442997464e-27,3.2603112672912403e-12,8.98910973957257e-08,2.212784235104062e-09,6.657573624629423e-17,1.2664304972525771e-12,2.4804267105242716e-08,0.0022593171078853238,2.864885238319754e-11,3.7553738761238383e-10
