Returns,Q_mean,P_NB6,P_NB7,P_NB8,P_NB9,P_NB10,P_NB11,P_NB12,P_NB13,P_NB14,P_NB15
-1.0,0.0,1.0434995672899322e-19,7.831161920748532e-11,1.9147375517160734e-07,1.5243841760522047e-08,2.918707117961202e-14,3.783212068082252e-11,2.1228613104144858e-07,0.002711717445526547,1.8065285567617578e-10,3.6287596437190336e-09
-0.99,0.0,7.695130663762464e-19,1.3623621049141852e-10,2.551922000882151e-07,2.193528605398063e-08,7.547126021795282e-14,6.785749289883525e-11,2.7760649408638296e-07,0.0028085006389104742,3.029856867186261e-10,5.474651126176614e-09
-0.98,0.0,4.691626850550133e-18,2.333189771338484e-10,3.386654330762718e-07,3.134937032719879e-08,1.8651833939159535e-13,1.19609520886716e-10,3.6185446319920295e-07,0.002909742544648897,5.01259512356819e-10,8.187963525131534e-09
-0.97,0.0,2.4444880369089882e-17,3.937075323379964e-10,4.475834471048519e-07,4.451025398632218e-08,4.423820029354948e-13,2.073972760635624e-10,4.7018414437397435e-07,0.003015695744693288,8.186008450310857e-10,1.2144318567462692e-08
-0.96,4.238694326601258e-07,1.1161692265474755e-16,6.551011734820786e-10,5.891539791555631e-07,6.279719136215037e-08,1.0105626231043098e-12,3.540879927623262e-10,6.090655010005946e-07,0.003126629854012003,1.3204853054885988e-09,1.7868794878058202e-08
-0.95,2.932984152579246e-06,4.55451606522996e-16,1.0756521888096748e-09,7.724760624698139e-07,8.805761885955262e-08,2.2303779070945876e-12,5.957426879477214e-10,7.86598498643766e-07,0.003242832856552108,2.1052747199099552e-09,2.6090386828989853e-08
-0.94,1.029330544772063e-05,1.686782589289902e-15,1.7440453480154797e-09,1.0089980584668765e-06,1.2275318991985357e-07,4.769133469508674e-12,9.885181722855471e-10,1.012897176736284e-06,0.0033646125609680076,3.319257922342914e-09,3.781456457797169e-08
-0.93,2.5284056408821628e-05,5.741315941600658e-15,2.7940735784170235e-09,1.3130776384010876e-06,1.7014749849648466e-07,9.903861577189151e-12,1.618831518766226e-09,1.3005581120809837e-06,0.003492298188223584,5.177932849769094e-09,5.4419398353006646e-08
-0.92,5.2617359052243525e-05,1.8144393983021448e-14,4.425517543814509e-09,1.7026644696659574e-06,2.345463315309403e-07,2.0017707919185802e-11,2.618174627613798e-09,1.6652305092355382e-06,0.003626242104539402,7.995869549868692e-09,7.778219904145352e-08
-0.91,9.544202635745788e-05,5.369497519538001e-14,6.9337885883216315e-09,2.2001302043102756e-06,3.216038445043045e-07,3.9455600789591915e-11,4.184494959458881e-09,2.1263084120762765e-06,0.0037668217146917355,1.2228281919551768e-08,1.1044548028530275e-07
-0.8999999999999999,0.00015517008677757625,1.4985438746711475e-13,1.075165566351823e-08,2.8332748526677155e-06,4.3871114906643325e-07,7.596970174722338e-11,6.612766017124234e-09,2.7077693582898553e-06,0.003914441532398943,1.8528461347851848e-08,1.558333438508723e-07
-0.8899999999999999,0.00024424613910157004,3.9678924444898825e-13,1.6507506937381094e-08,3.636543849329056e-06,5.954875404740701e-07,1.4311568710469921e-10,1.033831133972065e-08,3.4391882850996553e-06,0.004069535446479141,2.7826551199344768e-08,2.1853222453128123e-07
-0.8799999999999999,0.0003535359289869991,1.001919890916552e-12,2.510607012117578e-08,4.65249619111806e-06,8.043990947139373e-07,2.6415639902422837e-10,1.5997686270317087e-08,4.356960744329077e-06,0.0042325692036629175,4.1436845306247286e-08,3.046534155208494e-07
-0.8699999999999999,0.0004968300443795798,2.4232934147870605e-12,3.783942449607777e-08,5.9335710706714495e-06,1.0815347700174674e-06,4.783180150962214e-10,2.4513547429509402e-08,5.505775617065359e-06,0.004404043131431119,6.120297222489412e-08,4.2229906301611687e-07
-0.8599999999999999,0.0006717108380143101,5.635604850625549e-12,5.6538596325886614e-08,7.544208584001843e-06,1.4475766167399085e-06,8.50664376717586e-10,3.721205654566279e-08,6.9403846688003635e-06,0.004584495127060564,8.969309719941906e-08,5.821585266904442e-07
-0.8499999999999999,0.0008809393131872972,1.2644048277084e-11,8.377917822056254e-08,9.563389513091279e-06,1.9290084206784473e-06,1.4874602268569293e-09,5.598410445446195e-08,8.727724610214926e-06,0.004774503942249396,1.3046077829764556e-07,7.98268335375824e-07
-0.8399999999999999,0.0011276380411297045,2.7448266884077892e-11,1.2315842398868187e-07,1.2087670051865585e-05,2.559616294446134e-06,2.55975486913082e-09,8.350516493615636e-08,1.0949457003532944e-05,0.00497469279631057,1.8839152508660643e-07,1.0889766415494092e-06
-0.8299999999999998,0.001413306168036082,5.7802863050881206e-11,1.796663531502437e-07,1.5234799854421749e-05,3.3823456392914592e-06,4.339128943828395e-09,1.235330959969103e-07,1.3705002580673985e-05,0.005185733355032952,2.7016063645072636e-07,1.4781623477680043e-06
-0.8199999999999998,0.0017410919029972878,1.1835451764180528e-10,2.6017980794268084e-07,1.91480261608955e-05,4.451591813169942e-06,7.251233947035901e-09,1.8130894212352438e-07,1.711515954564173e-05,0.005408350116986597,3.8483479006901047e-07,1.996770239137519e-06
-0.8099999999999998,0.002109336590174393,2.3610667181176095e-10,3.7411644783742505e-07,2.4001203248391146e-05,5.836017089931376e-06,1.1955081143335874e-08,2.6409305199376307e-07,2.1326410478685898e-05,0.005643325254378549,5.446584208815913e-07,2.684736852962437e-06
-0.7999999999999998,0.002520156397507964,4.5974090008175996e-10,5.342957125616147e-07,3.0004845341001174e-05,7.622004457264162e-06,1.94592174689342e-08,3.8187797235385376e-07,2.651603983708237e-05,0.0058915039616481086,7.660765193128445e-07,3.593397850173524e-06
