Returns,BP_NB6,BP_NB7,BP_NB8,BP_NB9,BP_NB10,BP_NB11,BP_NB12,BP_NB13,BP_NB14,BP_NB15
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.99,-0.00027249609542310757,-0.00025395528330118654,-0.0001779846959137967,-4.787740108536869e-05,-2.3960727430690507e-05,-1.4326381391827138e-05,-1.5945971662224683e-05,-3.810661233175962e-05,-7.225982821399608e-05,-0.000681592014431634
-0.98,-0.000563494056388441,-0.0005260157868577807,-0.00037090528833880627,-0.00010135379868128708,-5.0992909583623606e-05,-3.054694421053552e-05,-3.400021650512246e-05,-8.089263336178955e-05,-0.0001525682001238356,-0.0013930742241541878
-0.97,-0.0008729242522585968,-0.0008160485787525553,-0.0005783582725531613,-0.0001589749774556589,-7.942857811674936e-05,-4.6782549132116115e-05,-5.241639662656348e-05,-0.00012677436501090558,-0.00023940112740454387,-0.002133366289014836
-0.96,-0.0011988683914100479,-0.0011219201344464236,-0.0007975571593669179,-0.00021604117943496126,-0.00010436508266624892,-5.776995505160138e-05,-6.624120540223243e-05,-0.00017082342600313992,-0.00032754374967084235,-0.002897469999177125
-0.95,-0.0015375739092447274,-0.001439512216804925,-0.0010233524239609815,-0.00026463412680608254,-0.00011769116732624048,-5.488820364891292e-05,-6.73396817498098e-05,-0.0002047945090248377,-0.00040812134288846876,-0.003676498309231086
-0.94,-0.0018838818224690581,-0.0017631854422861172,-0.0012487848455341925,-0.00029436197591710454,-0.00010882496745261054,-2.6927041254635987e-05,-4.5124531352710126e-05,-0.0002178919226607426,-0.00046944853032209946,-0.004458569295455334
-0.93,-0.00223168065314762,-0.002086271100055595,-0.001465672617086025,-0.0002931500052845393,-6.549739547291085e-05,3.9097350851011474e-05,1.2669658611071371e-05,-0.0001975832356800483,-0.0004979305796400026,-0.005229754818118042
-0.92,-0.0025744707598814843,-0.0024016825374471263,-0.0016653410044243002,-0.00024822343361645573,2.527390776644272e-05,0.0001569279897729122,0.0001190237427359977,-0.00013061067122045202,-0.00047918362846715597,-0.005975260310477398
-0.91,-0.0029055093368505185,-0.00270207256390356,-0.0018388113532359386,-0.0001463631717476841,0.00017693150551074176,0.00034080409607079764,0.0002873841846603113,-3.254408689046612e-06,-0.0003983262134415359,-0.006679727770330679
-0.8999999999999999,-0.0032180767588015718,-0.0029801222673204964,-0.001977146770511248,2.562721068297632e-05,0.0004029155790623371,0.0006049796867443435,0.0005312060042180463,0.00019818671122854328,-0.00024051146316284404,-0.007327792824017556
