Returns,BP_NB6,BP_NB7,BP_NB8,BP_NB9,BP_NB10,BP_NB11,BP_NB12,BP_NB13,BP_NB14,BP_NB15
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.99,-0.00018426425095242617,-0.0005358346562676427,-0.0008424598294980759,-0.0009207303420043538,-0.0009249900914133796,-0.0006728481873238686,-0.00045265176038171065,-0.00035516526257272626,-0.0002935137220821335,-0.0002696394544580582
-0.98,-0.0003829876629699647,-0.0011001747317661555,-0.0017189738785638876,-0.0018802330309293579,-0.0018923372414157637,-0.0013875107277171227,-0.0009385208198579657,-0.0007387430116413945,-0.0006121677756155526,-0.0005632360610259338
-0.97,-0.0005944598555110352,-0.0016915924830783336,-0.0026278913728801823,-0.002876718197514966,-0.0029000847462991594,-0.002141478662949056,-0.0014544848559657712,-0.00114722305930314,-0.0009519566330639375,-0.0008763839035174278
-0.96,-0.0008140332336470995,-0.0023057042632638296,-0.0035644487143153313,-0.00390490140596737,-0.003942309723920414,-0.002927082398266218,-0.001991718321306916,-0.0015711116700353792,-0.0013024489269308204,-0.0011978271852310274
-0.95,-0.0010343092308125132,-0.002935354110551629,-0.004520961051802738,-0.004956218958413309,-0.005009368481084432,-0.0037318156754905523,-0.0025360535320599555,-0.0019953116845688153,-0.0016471964714477331,-0.0015098966497564712
-0.94,-0.00124591735307585,-0.0035713900753554075,-0.005487634711792341,-0.006019740795494562,-0.006088935382432247,-0.004539699079639298,-0.0030694930236339437,-0.002400710921525639,-0.0019654405543175933,-0.0017903285641973623
-0.93,-0.0014382418247169122,-0.004203387937904738,-0.006453324519492191,-0.007083021470822959,-0.007166971293643891,-0.005332551395695504,-0.0035716200649105723,-0.0027656638357098215,-0.0022337037647469095,-0.002013961803798834
-0.92,-0.001600059078285105,-0.004820285544287163,-0.007406197496155616,-0.008132845923306159,-0.008228572373676565,-0.006091104333060698,-0.0040208359380014365,-0.0030672915199234487,-0.0024271869441226525,-0.002154227348875877
-0.91,-0.0017201905859952301,-0.005411032273248376,-0.008334412406749302,-0.009155993052532268,-0.009258839128948619,-0.006796143892182864,-0.0043956269325472076,-0.0032828130355435385,-0.002521199919741343,-0.0021846738816834925
-0.8999999999999999,-0.0017880626172094435,-0.005965145188142227,-0.009226701569309815,-0.010139889467697883,-0.010243620555121786,-0.007429488203215909,-0.004675650486778117,-0.003390687107205536,-0.0024923888147711667,-0.0020802767021478328
-0.8899999999999999,-0.0017938710355848806,-0.006472869915710154,-0.01007253864225002,-0.011072798031418554,-0.01116972913628643,-0.00797427232114938,-0.004842054148860147,-0.003370948890870877,-0.0023190993985813873,-0.0018178260450611244
-0.8799999999999999,-0.0017289317590401339,-0.006925526994826919,-0.010862500693840881,-0.011944224691064063,-0.012025404146494952,-0.008415558371238691,-0.00487815503752166,-0.003205925224525239,-0.0019821469388362693,-0.0013767487218084816
-0.8699999999999999,-0.0015859384137498049,-0.007315765160738208,-0.011588532806118917,-0.012745215787612733,-0.012800650381385531,-0.008740782604144872,-0.004769938957157308,-0.0028807607998222184,-0.0014653832595216177,-0.0007397137756052959
-0.8599999999999999,-0.0013588187841091356,-0.0076374130953106535,-0.012243792110322565,-0.013468182801179441,-0.01348703937375729,-0.00893949842528453,-0.004505780194234002,-0.0023831266921955172,-0.0007553862217310139,0.0001076969496297003
-0.8499999999999999,-0.001042951035926545,-0.007885690781916208,-0.012822868514773187,-0.014107150338328699,-0.014077992034578098,-0.009003750132518525,-0.004076859957071239,-0.0017036622500267214,0.00015806328272738838,0.0011764788521382802
-0.8399999999999999,-0.0006350574664329838,-0.008057098067992829,-0.013321667351855063,-0.014657624237480345,-0.014568629195914912,-0.008927880703744095,-0.0034769583998419348,-0.0008357598157201402,0.0012822096162904194,0.002474446067873519
-0.8299999999999998,-0.00013309879782336643,-0.008149303520663322,-0.013737292365925914,-0.015116460043678583,-0.014955622574569954,-0.008708340194104727,-0.0027022475886384367,0.00022464935668415175,0.002621549159841478,0.004006471182658767
-0.8199999999999998,0.00046372504247926426,-0.008161139541613672,-0.014068040042429744,-0.01548185657201637,-0.015237188017360495,-0.008343680560053898,-0.0017512911687016326,0.0014790920545106208,0.004177823730322608,0.005774476098328237
-0.8099999999999998,0.0011550646106128731,-0.00809250674441102,-0.014313298939617112,-0.01575324271552289,-0.015412957311744729,-0.007834391448692577,-0.0006248682035158771,0.002926734355444501,0.005950211592092137,0.007777633292113347
-0.7999999999999998,0.0019394841171744433,-0.007944304610102738,-0.0144734765980208,-0.015931195222285505,-0.01548388521537188,-0.007182782143681356,0.0006741516051618607,0.004564508731196959,0.007935460072981392,0.01001250465645745
-0.7899999999999998,0.0028146063099964533,-0.007718280173506788,-0.014549840650621136,-0.016017260049517604,-0.015452046797568347,-0.0063927198343477955,0.0021410915214277386,0.0063874075936453945,0.0101281965880483,0.0124733702691873
-0.7799999999999998,0.003777229450686178,-0.007416904390131774,-0.01454438899440137,-0.016013806351252328,-0.015320471886048357,-0.005469416479185426,0.003769697304921749,0.008388719861806409,0.012521178207858138,0.01515249146706291
-0.7699999999999998,0.004823328515006547,-0.0070433640834673805,-0.01445984110221925,-0.015924016558585913,-0.01509313429531843,-0.004419418391827076,0.005552142005943402,0.010560031454933165,0.015105287496421066,0.018040103310551007
-0.7599999999999998,0.005948159446524345,-0.006601450609581993,-0.014299521235058314,-0.01575175497597491,-0.01477480284923475,-0.003250414734666688,0.007479231034802397,0.012891435721470014,0.01786975342701866,0.02112464669345789
-0.7499999999999998,0.007146488972894878,-0.006095322742011505,-0.014067109999340459,-0.015501288425245698,-0.014370724086185746,-0.0019708254516295856,0.00954085122138275,0.015371999681720577,0.020802646623574058,0.024393292574510967
-0.7399999999999998,0.008412478190595565,-0.005529615694487899,-0.013766758570213993,-0.015177414357087866,-0.013886768409779598,-0.0005899961771785947,0.011725747545923475,0.01798952449086281,0.02389061660491238,0.02783165819284453
-0.7299999999999998,0.009739801276173,-0.004909314822682171,-0.013402956540818349,-0.014785312108299233,-0.013329261290165722,0.0008820195503837726,0.014021756647396437,0.020730785027799126,0.027119143088555214,0.03142407087961324
-0.7199999999999998,0.011121797810770006,-0.004239595591919886,-0.012980364561208857,-0.014330354567707973,-0.012704769386939091,0.0024347372928673894,0.016416105725771145,0.023581837895805705,0.030472860433678927,0.03515390958094375
-0.7099999999999997,0.012551482951476631,-0.0035258056506930076,-0.012503795962320517,-0.013818087211965056,-0.01202007699698968,0.00405726960834975,0.018895435457925134,0.026528039598484907,0.03393557064335094,0.0390036142507992
-0.6999999999999997,0.014021689148940015,-0.0027733152922024334,-0.011978060670815945,-0.013254052378711863,-0.011281986406785412,0.005738584864389281,0.02144607849522943,0.029554332741638645,0.037490543816489655,0.042955001347017255
-0.6899999999999997,0.015524973544417207,-0.001987602297452769,-0.011408054788298368,-0.012643889535749695,-0.010497432112029179,0.007467355195631837,0.024053882946364433,0.03264505457205585,0.0411203055273263,0.046989032329562634
-0.6799999999999997,0.017053700947094377,-0.001174161224521729,-0.010798666460446086,-0.011993229097488718,-0.009673360129491975,0.009232112510032014,0.026704376938208003,0.03578410330851595,0.04480680805481466,0.051085991009321825
-0.6699999999999997,0.018600189230583937,-0.0003383503915823253,-0.010154616671364311,-0.01130751308627968,-0.00881652401239383,0.011021513995626774,0.02938305445671175,0.038955231636234995,0.04853173789385304,0.05522580592987265
-0.6599999999999997,0.020156684306488495,0.000514590483460283,-0.009480478995028144,-0.010592016832452639,-0.00793350944390319,0.012824308650841849,0.03207533022267993,0.04214199280891986,0.05227645011824874,0.05938797490590859
